Raw_Time,Date,Time,Address
"8:30 p.m., Monday, March 12, 2018",20180312,2030,5226 S. Ingleside Avenue
"8:30 p.m., Monday, March 12, 2018",20180312,2030,5226 S. Ingleside Avenue
"8:30 p.m., Monday, March 12, 2018",20180312,2030,5226 S. Ingleside Avenue
"2:00 p.m., Friday, March 2, 2018",20180302,1400,5435 South Woodlawn Avenue
"2:20 p.m., Friday, February 2, 2018",20180202,1420,5480 South Cornell Avenue
"8:35 a.m., Friday, January 19, 2018",20180119,0835,5130 S. Lake Park Avenue
"5:25 p.m., Wednesday, January 3, 2018",20180103,1725,5730 S. Ellis Avenue
"6:00 p.m., Sunday, December 31, 2017",20171231,1800, Harper between 54th Street and 55th Street
"2:35 p.m., Saturday, November 25, 2017",20171125,1435,1617 East 50th Place
"6:25 p.m., Saturday, November 25, 2017",20171125,1825,5401 South Cottage Grove Avenue
"12:30 a.m., Tuesday, November 21, 2017",20171121,1230,930 East 55th Street
"3:30 p.m., Monday, November 20, 2017",20171120,1530,3
"2:45 p.m., Saturday, November 18, 2017",20171118,1445, South Dorchester Avenue between 62nd Street and 63rd Street
"7:20 p.m., Wednesday, November 1, 2017",20171101,1920, Harper between 58th Street and 59th Street
"10:30 p.m., Tuesday, October 31, 2017",20171031,2230, S. Drexel Avenue between 52nd Street and 53rd Street
"8:30 p.m., Tuesday, October 31, 2017",20171031,2030,5461 S. Cornell Avenue
"10:10 a.m., Monday, October 30, 2017",20171030,1010,5460 South Ellis Avenue
"2:00 p.m., Wednesday, October 25, 2017",20171025,1400,2
"8:15 p.m., Friday, October 13, 2017",20171013,2015, South Everett between 55th Street and 56th Street
,,,1
"1:45 p.m., Sunday, August 20, 2017",20170820,1345,1
"10:15 a.m. Sunday, August 20, 2017",20170820,1015,10
,,,1
,,,1427 East 60th Street
"8:20 p.m., Wednesday, June 14, 2017",20170614,2020, Kimbark Avenue between 57th Street and 58th Street
"5:55 p.m., Monday, June 12, 2017",20170612,1755,5
"10:10 p.m., Thursday, June 8, 2017",20170608,2210,6207 South Ingleside Avenue
"5:15 p.m., Thursday, June 8, 2017",20170608,1715,5
"5:20 p.m., Wednesday, May 31, 2017",20170531,1720,5327 South Cornell Avenue
"6:30 p.m., Monday, May 22, 2017",20170522,1830,5208 South Ingleside Avenue
,,,37
"2:20 p.m., Sunday, April 30, 2017",20170430,1420,6153 South Greenwood Avenue
"10:40 a.m., Sunday, April 23, 2017",20170423,1040,5036 S. Ellis Avenue
"12:00 p.m., Wednesday, April 19, 2017",20170419,2400,6200 South Drexel Avenue
"1:45 p.m., Monday, April 17, 2017",20170417,1345,6200 South Ingleside Avenue
"2:35 p.m., Thursday, April 6, 2017",20170406,1435,5840 S. Maryland Avenue
"3:10 p.m., Tuesday, April 4, 2017",20170404,1510,3
"3:25 p.m., Tuesday, March 21, 2017",20170321,1525, East Madison Park between Woodlawn Avenue and Dorchester Avenue
"4:05 p.m., Saturday, March 18, 2017",20170318,1605,5558 South Kimbark Avenue
"7:05 p.m., Wednesday, January 25, 2017",20170125,1905,5555 South Woodlawn Avenue
