PrimaryType,Date,Time,AM/PM,Location
robbery,20180202,1420,PM,"(41.795783, -87.585907)"
robbery,20180119,835,am,"(41.801295, -87.587999)"
robbery,20180103,1745,pm,"(41.790080, -87.604566)"
robbery,20180103,1725,pm,"(41.790265, -87.602610)"
robbery,20171231,1800,pm,
robbery,20171127,1000,am,"(41.802467, -87.586646)"
weapons violation,20171125,1825,pm,"(41.796614, -87.605844)"
robbery,20171125,1435,pm,"(41.803266, -87.585822)"
robbery,20171122,1630,pm,"(41.767819, -87.592210)"
robbery,20171122,30,am,"(41.795448, -87.602495)"
robbery,20171120,1530,pm,"(41.798131, -87.585893)"
robbery,20171118,1445,pm,"(41.780997, -87.591436)"
robbery,20171101,1920,pm,
robbery,20171101,1925,pm,
robbery,20171031,2245,pm,"(41.795380, -87.603808)"
robbery,20171031,2230,pm,"(41.799910, -87.603935)"
robbery,20171031,2055,pm,"(41.792235, -87.592645)"
robbery,20171031,2030,pm,"(41.796248, -87.584914)"
robbery,20171030,1010,am,"(41.796157, -87.601436)"
weapons violation,20171025,1400,pm,"(41.800419, -87.606346)"
robbery,20171013,2235,pm,"(41.793619, -87.583297)"
robbery,20171013,2015,pm,"(41.798108, -87.584022)"
assault,20171007,100,am,"(41.797972, -87.594997)"
robbery,20170820,1345,pm,"(41.797925, -87.601134)"
robbery,20170820,1015,am,"(41.797936, -87.599694)"
robbery,20170817,1300,pm,"(41.782270, -87.601133)"
robbery,20170707,2200,pm,"(41.785808, -87.590510)"
robbery,20170614,2020,pm,"(41.790830, -87.594834)"
robbery,20170612,1755,pm,"(41.797899, -87.603266)"
weapons violation,20170608,2010,pm,"(41.782036, -87.602453)"
robbery,20170608,1715,pm,"(41.795207, -87.586736)"
weapons violation,20170531,1720,pm,"(41.798612, -87.585385)"
robbery,20170522,1840,pm,"(41.800849, -87.602875)"
robbery,20170522,1830,pm,"(41.800626, -87.603219)"
robbery,20170515,1730,pm,"(41.796851, -87.603882)"
robbery,20170430,1420,pm,"(41.782543, -87.599202)"
robbery,20170423,2250,pm,"(41.799447, -87.599025)"
robbery,20170423,2240,pm,"(41.803051, -87.601937)"
robbery,20170419,1750,pm,"(41.781966, -87.604858)"
robbery,20170417,1345,pm,"(41.781984, -87.603138)"
robbery,20170407,1435,pm,"(41.788927, -87.605063)"
robbery,20170404,1510,pm,"(41.782363, -87.594690)"
robbery,20170321,2200,pm,"(41.802403, -87.595209)"
robbery,20170321,2120,pm,"(41.796475, -87.581698)"
robbery,20170321,1525,pm,"(41.803061, -87.593534)"
battery,20170318,1605,pm,"(41.793507, -87.595119)"
robbery,20170125,1905,pm,"(41.793546, -87.596033)"
robbery,20161222,1848,pm,"(41.796157, -87.602282)"
robbery,20161209,2215,pm,"(41.796196, -87.599643)"
robbery,20161209,2115,pm,"(41.795326, -87.601992)"
murder,20161202,1455,pm,"(41.795879, -87.585124)"
robbery,20161118,1820,pm,"(41.796504, -87.601254)"
robbery,20161116,1900,pm,"(41.796851, -87.603882）"
robbery,20161026,730,am,"(41.784193, -87.592091)"
weapons violation,20161022,1800,pm,"(41.796820, -87.605060)"
robbery,20161013,1900,pm,"(41.800996, -87.593424)"
robbery,20161012,1850,pm,"(41.804366, -87.585942)"
robbery,20160920,140,am,"(41.789707, -87.591553)"
robbery,20160804,140,am,"(41.800684, -87.602477)"
robbery,20160804,124,am,"(41.797979, -87.595719)"
robbery,20160803,1145,pm,"(41.797239, -87.590120)"
weapons violation,20160709,1555,pm,"(41.796851, -87.603882)"
robbery,20160622,1615,pm,"(41.793349, -87.594895)"
weapons violation,20160619,1815,pm,"(41.782808, -87.594518)"
robbery,20160531,15,am,"(41.793276, -87.598141)"
weapons violation,20160524,1525,pm,"(41.783237, -87.594711)"
battery,20160517,1650,pm,"(41.795404, -87.598141)"
weapons violation,20160517,940,am,"(41.782363, -87.594712)"
assault,20160423,405,am,"(41.789650, -87.593187)"
weapons violation,20160411,1400,pm,"(41.801036, -87.587451)"
robbery,20150403,2150,pm,"(41.784119, -87.599532)"
robbery,20160402,1305,pm,"(41.796566, -87.591711)"
robbery,20160317,1345,pm,"(41.799572, -87.587217)"
weapons violation,20160221,1315,pm,"(41.797943, -87.589326)"
robbery,20160119,2050,pm,"(41.790953, -87.598252)"
robbery,20151224,1645,pm,"(41.799543, -87.590462)"
robbery,20151107,1210,pm,"(41.798302, -87.588795)"
robbery,20150927,5,am,"(41.787866, -87.591506)"
robbery,20150917,55,am,"(41.787254, -87.596342)"
robbery,20150911,2100,pm,"(41.787764, -87.603486)"
weapons violation,20150906,200,am,"(41.783075, -87.605602)"
weapons violation,20150814,1930,pm,"(41.783149, -87.594722)"
weapons violation,20150714,1950,pm,"(41.800820, -87.604106)"
robbery,20150526,2120,pm,"(41.791507, -87.589044)"
robbery,20150523,2215,pm,"(41.791507, -87.589044)"
robbery,20150521,2205,pm,"(41.787980, -87.598901)"
weapons violation,20150420,30,am,"(41.795544, -87.600861)"
weapons violation,20150412,1630,pm,"(41.782318, -87.601122)"
murder,20150314,300,am,"(41.797634, -87.584512)"
